,GEO_CODE,Region,Country,Value,Species
72,WC052,Prince Albert,Female school/postschool,0.290083411,normal
86,WC032,Overstrand,Male school/postschool,0.289167575,normal
102,WC013,Bergrivier,Female Employed,0.408026756,normal
101,WC012,Cederberg,Female Employed,0.402151639,normal
146,WC051,Laingsburg,Male Employed,0.46153846200000004,normal
98,WC053,Beaufort West,Male school/postschool,0.420463421,normal
97,WC052,Prince Albert,Male school/postschool,0.295169946,normal
96,WC051,Laingsburg,Male school/postschool,0.297435897,normal
95,WC048,Knysna,Male school/postschool,0.37842669799999995,normal
94,WC047,Bitou,Male school/postschool,0.336796063,normal
93,WC045,Oudtshoorn,Male school/postschool,0.39028133,normal
92,WC044,George,Male school/postschool,0.37671321399999996,normal
91,WC043,Mossel Bay,Male school/postschool,0.37340854100000004,normal
90,WC042,Hessequa,Male school/postschool,0.320596206,normal
89,WC041,Kannaland,Male school/postschool,0.283851555,normal
88,WC034,Swellendam,Male school/postschool,0.28761208899999996,normal
85,WC031,Theewaterskloof,Male school/postschool,0.31669650899999996,normal
66,WC043,Mossel Bay,Female school/postschool,0.372414865,normal
84,WC026,Langeberg,Male school/postschool,0.307281553,normal
83,WC025,Breede Valley,Male school/postschool,0.372984018,normal
81,WC023,Drakenstein,Male school/postschool,0.38034946700000005,normal
80,WC022,Witzenberg,Male school/postschool,0.272493337,normal
79,WC015,Swartland,Male school/postschool,0.286605421,normal
77,WC013,Bergrivier,Male school/postschool,0.286085826,normal
76,WC012,Cederberg,Male school/postschool,0.293880635,normal
1,WC012,Cederberg,Female NEET,0.305071721,normal
73,WC053,Beaufort West,Female school/postschool,0.408232826,normal
144,WC047,Bitou,Male Employed,0.293056315,normal
71,WC051,Laingsburg,Female school/postschool,0.27574171,normal
70,WC048,Knysna,Female school/postschool,0.377811666,normal
69,WC047,Bitou,Female school/postschool,0.346698744,normal
68,WC045,Oudtshoorn,Female school/postschool,0.394303232,normal
104,WC015,Swartland,Female Employed,0.32075681699999997,normal
105,WC022,Witzenberg,Female Employed,0.40196947299999997,normal
106,WC023,Drakenstein,Female Employed,0.27702047,normal
108,WC025,Breede Valley,Female Employed,0.323901305,normal
142,WC044,George,Male Employed,0.303465219,normal
141,WC043,Mossel Bay,Male Employed,0.30910556,normal
140,WC042,Hessequa,Male Employed,0.40514905100000004,normal
139,WC041,Kannaland,Male Employed,0.356068205,normal
138,WC034,Swellendam,Male Employed,0.433078711,normal
136,WC032,Overstrand,Male Employed,0.34932751700000003,normal
135,WC031,Theewaterskloof,Male Employed,0.43699641899999997,normal
134,WC026,Langeberg,Male Employed,0.439805825,normal
133,WC025,Breede Valley,Male Employed,0.35247756,normal
131,WC023,Drakenstein,Male Employed,0.333442347,normal
130,WC022,Witzenberg,Male Employed,0.5255950739999999,normal
129,WC015,Swartland,Male Employed,0.44357491200000004,normal
127,WC013,Bergrivier,Male Employed,0.488513221,normal
126,WC012,Cederberg,Male Employed,0.43389574399999997,normal
145,WC048,Knysna,Male Employed,0.299364323,normal
123,WC053,Beaufort West,Female Employed,0.165967488,normal
122,WC052,Prince Albert,Female Employed,0.156626506,normal
121,WC051,Laingsburg,Female Employed,0.29842931899999997,normal
120,WC048,Knysna,Female Employed,0.217499047,normal
119,WC047,Bitou,Female Employed,0.201550388,normal
118,WC045,Oudtshoorn,Female Employed,0.15749137800000002,normal
117,WC044,George,Female Employed,0.241098108,normal
116,WC043,Mossel Bay,Female Employed,0.255014772,normal
115,WC042,Hessequa,Female Employed,0.256760305,normal
114,WC041,Kannaland,Female Employed,0.215587045,normal
113,WC034,Swellendam,Female Employed,0.270191959,normal
111,WC032,Overstrand,Female Employed,0.292040063,normal
110,WC031,Theewaterskloof,Female Employed,0.318949343,normal
109,WC026,Langeberg,Female Employed,0.325639799,normal
67,WC044,George,Female school/postschool,0.37605826700000006,normal
143,WC045,Oudtshoorn,Male Employed,0.241304348,normal
65,WC042,Hessequa,Female school/postschool,0.348122867,normal
19,WC047,Bitou,Female NEET,0.451750869,normal
35,WC031,Theewaterskloof,Male NEET,0.24630707300000002,normal
34,WC026,Langeberg,Male NEET,0.252912621,normal
64,WC041,Kannaland,Female school/postschool,0.28340081,normal
31,WC023,Drakenstein,Male NEET,0.286208185,normal
30,WC022,Witzenberg,Male NEET,0.20191158899999997,normal
29,WC015,Swartland,Male NEET,0.269819667,normal
27,WC013,Bergrivier,Male NEET,0.225400954,normal
26,WC012,Cederberg,Male NEET,0.272223621,normal
148,WC053,Beaufort West,Male Employed,0.236136423,normal
23,WC053,Beaufort West,Female NEET,0.425799685,normal
22,WC052,Prince Albert,Female NEET,0.5532900829999999,normal
21,WC051,Laingsburg,Female NEET,0.42582897,normal
20,WC048,Knysna,Female NEET,0.404689287,normal
18,WC045,Oudtshoorn,Female NEET,0.44820539,normal
38,WC034,Swellendam,Male NEET,0.27930920000000004,normal
17,WC044,George,Female NEET,0.382843625,normal
16,WC043,Mossel Bay,Female NEET,0.37257036200000004,normal
15,WC042,Hessequa,Female NEET,0.395116829,normal
14,WC041,Kannaland,Female NEET,0.501012146,normal
13,WC034,Swellendam,Female NEET,0.41724013,normal
11,WC032,Overstrand,Female NEET,0.392373924,normal
10,WC031,Theewaterskloof,Female NEET,0.328095685,normal
9,WC026,Langeberg,Female NEET,0.365343219,normal
8,WC025,Breede Valley,Female NEET,0.300662976,normal
6,WC023,Drakenstein,Female NEET,0.313987339,normal
5,WC022,Witzenberg,Female NEET,0.288232398,normal
4,WC015,Swartland,Female NEET,0.361825264,normal
2,WC013,Bergrivier,Female NEET,0.28428093600000004,normal
36,WC032,Overstrand,Male NEET,0.36150490700000004,normal
33,WC025,Breede Valley,Male NEET,0.274538422,normal
52,WC013,Bergrivier,Female school/postschool,0.307692308,normal
59,WC026,Langeberg,Female school/postschool,0.309016982,normal
51,WC012,Cederberg,Female school/postschool,0.292776639,normal
147,WC052,Prince Albert,Male Employed,0.343470483,normal
55,WC022,Witzenberg,Female school/postschool,0.309798129,normal
56,WC023,Drakenstein,Female school/postschool,0.408992191,normal
58,WC025,Breede Valley,Female school/postschool,0.375435719,normal
48,WC053,Beaufort West,Male NEET,0.343400156,normal
47,WC052,Prince Albert,Male NEET,0.361359571,normal
46,WC051,Laingsburg,Male NEET,0.241025641,normal
45,WC048,Knysna,Male NEET,0.322208979,normal
44,WC047,Bitou,Male NEET,0.370147622,normal
43,WC045,Oudtshoorn,Male NEET,0.368414322,normal
60,WC031,Theewaterskloof,Female school/postschool,0.35295497200000003,normal
61,WC032,Overstrand,Female school/postschool,0.315586013,normal
42,WC044,George,Male NEET,0.319821567,normal
41,WC043,Mossel Bay,Male NEET,0.317485898,normal
63,WC034,Swellendam,Female school/postschool,0.31256791,normal
40,WC042,Hessequa,Male NEET,0.274254743,normal
39,WC041,Kannaland,Male NEET,0.360080241,normal
54,WC015,Swartland,Female school/postschool,0.317417919,normal
124,ZA,South Africa,Female Employed,0.142325209,average
74,ZA,South Africa,Female school/postschool,0.501183721,average
99,ZA,South Africa,Male school/postschool,0.517861829,average
24,ZA,South Africa,Female NEET,0.35649107,average
49,ZA,South Africa,Male NEET,0.286572989,average
149,ZA,South Africa,Male Employed,0.195565182,average
37,WC033,Cape Agulhas,Male NEET,0.26464727,WC033
62,WC033,Cape Agulhas,Female school/postschool,0.316050324,WC033
87,WC033,Cape Agulhas,Male school/postschool,0.298923874,WC033
12,WC033,Cape Agulhas,Female NEET,0.37171178,WC033
112,WC033,Cape Agulhas,Female Employed,0.312237896,WC033
137,WC033,Cape Agulhas,Male Employed,0.43642885600000003,WC033
57,WC024,Stellenbosch,Female school/postschool,0.459582493,WC024
132,WC024,Stellenbosch,Male Employed,0.318547863,WC024
82,WC024,Stellenbosch,Male school/postschool,0.45285102,WC024
7,WC024,Stellenbosch,Female NEET,0.255121285,WC024
107,WC024,Stellenbosch,Female Employed,0.285296222,WC024
32,WC024,Stellenbosch,Male NEET,0.228601117,WC024
103,WC014,Saldanha Bay,Female Employed,0.286124402,WC014
3,WC014,Saldanha Bay,Female NEET,0.388995215,WC014
28,WC014,Saldanha Bay,Male NEET,0.366500829,WC014
78,WC014,Saldanha Bay,Male school/postschool,0.301824212,WC014
128,WC014,Saldanha Bay,Male Employed,0.331674959,WC014
53,WC014,Saldanha Bay,Female school/postschool,0.324880383,WC014
0,WC011,Matzikama,Female NEET,0.396321673,WC011
125,WC011,Matzikama,Male Employed,0.412217843,WC011
100,WC011,Matzikama,Female Employed,0.290840245,WC011
50,WC011,Matzikama,Female school/postschool,0.312838082,WC011
25,WC011,Matzikama,Male NEET,0.28394840600000004,WC011
75,WC011,Matzikama,Male school/postschool,0.30383375100000004,WC011
